row_index,text,cluster_id,is_noise,x,y,z
0,年末基金经理会调仓吗？,2,False,-0.06474284082651138,0.20681661367416382,0.04082556068897247
1,熊市应该怎么操作？,4,False,-0.09827766567468643,0.03808796405792236,0.06221798062324524
2,什么是止盈和止损？如何设置止损位？,1,False,-0.0844280868768692,-0.04388308525085449,-0.0005525284796021879
3,LOF基金和ETF有什么区别？,2,False,-0.046478062868118286,0.11762325465679169,-0.17342258989810944
4,发起式基金有什么特殊之处？,2,False,-0.08767114579677582,0.07309267669916153,-0.15095394849777222
5,什么是分批建仓？有什么好处？,1,False,-0.060925908386707306,0.03084392100572586,-0.0636519119143486
6,什么是拉升？,1,False,-0.09998641163110733,-0.22126010060310364,0.015816183760762215
7,什么是世界杯魔咒？,1,False,-0.007984567433595657,-0.17369574308395386,0.06851351261138916
8,怎么看股票的K线图？,4,False,-0.08755704015493393,-0.026453666388988495,0.13399146497249603
9,中概股回归对A股有什么影响？,4,False,-0.1105058565735817,-0.017900852486491203,0.06870131194591522
10,什么是基金组合？,2,False,-0.05526360869407654,0.03014293871819973,-0.17760993540287018
11,债券违约后申请财产保全？,3,False,-0.04082585498690605,0.11813325434923172,0.02248370088636875
12,投资新兴市场债券的汇率风险？,3,False,-0.015529773198068142,0.17508089542388916,-0.12060215324163437
13,什么是确认偏误？,1,False,-0.0942915827035904,-0.1703946441411972,0.08467328548431396
14,什么是平价发行、溢价发行和折价发行？,1,False,-0.09086605161428452,-0.13433480262756348,-0.059898603707551956
15,债券和利率互换有什么关系？,3,False,-0.05321161076426506,0.021434644237160683,-0.21448980271816254
16,如果买了黄金期货，一直不平仓会怎样？,0,False,0.22696886956691742,0.09299362450838089,0.041542112827301025
17,什么是调味品股？,4,False,-0.12263158708810806,-0.14670558273792267,0.013611896894872189
18,为什么债券的折算率会下调？,3,False,-0.03761261701583862,0.04485785961151123,-0.1396332085132599
19,我是新手，该怎么选择第一只股票？,4,False,-0.12408582866191864,0.07405811548233032,0.13725464046001434
20,股票最少买多少股？,4,False,-0.11269044131040573,0.023874683305621147,0.11680464446544647
21,债券的发行价格有几种？,3,False,-0.06187967583537102,0.009683455340564251,-0.1607227474451065
22,股票退市了，我手里的股票怎么办？,4,False,-0.10292033851146698,0.07194068282842636,0.21200010180473328
23,索罗斯的“反身性”理论在黄金市场如何体现？,0,False,0.23758280277252197,-0.0566471628844738,-0.030675368383526802
24,2015年大牛市是怎么回事？,4,False,-0.11374415457248688,-0.046549972146749496,0.02199607528746128
25,如何给PDF文件加密？,4,False,-0.01363788265734911,-0.054658107459545135,0.209014430642128
26,个人纸黄金交易的收益，需要缴纳个人所得税吗？,0,False,0.23116031289100647,0.07259473204612732,0.06712714582681656
27,什么是矿产金？,0,False,0.23946793377399445,-0.21926958858966827,-0.09251930564641953
28,基金定投应该选择哪天扣款？,2,False,-0.045521076768636703,0.2171475887298584,0.04242682829499245
29,什么是避险情绪？它如何推高金价？,0,False,0.22618375718593597,-0.12909679114818573,-0.08372445404529572
30,什么是慢牛？,1,False,-0.13986121118068695,-0.12894466519355774,0.02330438233911991
31,银行A的积存金和银行B的有什么区别？,1,False,0.024815108627080917,-0.021021224558353424,-0.07479087263345718
32,如何通过手机银行购买纸黄金？,0,False,0.26710766553878784,0.030201051384210587,0.11034072190523148
33,房住不炒背景下地产股还能买吗？,4,False,-0.06058874726295471,0.13170816004276276,0.1307300329208374
34,什么是除息日？,4,False,-0.049275774508714676,-0.027000216767191887,-0.009591270238161087
35,什么是题材股？,4,False,-0.1393950879573822,-0.1291431188583374,0.0545024499297142
36,金银比达到多少时是买入白银的好时机？,0,False,0.14297592639923096,0.07888766378164291,-0.006088815629482269
37,什么是基金套利？,2,False,-0.0678226575255394,0.03931219130754471,-0.1834484040737152
38,公司债ETF和国债ETF哪个风险大？,3,False,-0.0657101422548294,0.22488954663276672,-0.14013415575027466
